F.I.SH,HEMIS Login,Fakultet,Universitet,Ro'yxatdan o'tgan vaqti
BAXRIDDINOVA SHAXNOZABONU KAMOLIDDIN QIZI,395251101511,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:30:26
BAXROMOVA SARVINOZ IBROXIMJON QIZI,395251101777,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:35:19
BAXTIYAROVA SEVARA MUXITDIN QIZI,395251101816,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:12:02
BAXTIYOROVA AZIZA BAXROM QIZI,395251101643,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:52:51
BAXTIYOROVA ZULAYXO G‘ULOMJON QIZI,395251100844,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 04:50:53
BAXURTDINOVA AZIZA SOHIB QIZI,395251101590,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:55:27
BAZARBAYEVA SHAXNOZA YULDASHEVNA,395241100565,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 01:11:47
BEGMATOVA DILNURA SHAVKAT QIZI,395251100982,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:08:14
BEKBERGANOVA NOZIMA QUDRAT QIZI,395251100930,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:15:06
BEKOVA SHIRIN ASQAR QIZI,395251101242,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:38:49
BEKTURDIYEVA DILNURA UMRBEK QIZI,395251101951,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:38:30
BERDIKULOVA SEVINCH XODJIAKBAR QIZI,395251100661,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:34:11
BERDIYEVA YULDUZ SHOXNAZAR QIZI,395241100259,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:15:28
BOBOKULOVA SHOXISTA XALIM KIZI,395241100336,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:25:52
BOBOQULOVA MUNISA FAXRIDDIN QIZI,395251100757,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:25:04
BO‘RIYEVA SHAXLO SIROJIDDIN QIZI,395251100896,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:39:26
BOTIROVA MUSHTARIY ZOKIR QIZI,395241100532,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:08:21
BOXODIROVA ZULXAYO BAXRIDDIN QIZI,395251101786,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:58:40
BOYMATOV JAVOHIR SARVAROVICH,395241100220,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:47:54
BOYMIRZAYEVA YULDUZ UCHQUN QIZI,395251102121,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:22:30
BOYQULOVA SARVINOZ FAXRIDDIN QIZI,395241100534,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:18:26
BUSTONOV AZIZBEK SIROJIDDIN O‘G‘LI,395251100773,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:55:38
CHUTBOYEV MADATBEK QURBONMUROD O‘G‘LI,395231100060,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:02:48
DEHQONOVA SHAHZODA TO‘LQIN QIZI,395251100901,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:14:53
DILMURODOV XUSAN BEKMUROD O‘G‘LI,395251100783,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:01:44
DO‘SBEKOVA GULSEVAR FAXRIDDIN QIZI,395251101942,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:17:54
DO‘STMURATOVA SITORA BOXODIR QIZI,395251100727,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:11:37
DUSBOBOYEVA UMIDA JAMSHID QIZI,395251101553,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:32:35
DUSMURODOV ELBEK NIZOMJON O‘G‘LI,395251100931,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:19:56
DUSOVA NARGIZA GANVAYEVNA,395251100710,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:37:03
EGAMBERDIYEVA RAYXONA XASAN QIZI,395241101168,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:12:08
EGAMBERDIYEVA SABRINA ALISHER QIZI,395241101188,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:15:09
EGAMBERDIYEVA XULKAROY BEKZOD QIZI,395251102120,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:42:09
EGAMNAZAROVA GULSEVAR SHAROF QIZI,395251100521,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:55:40
ELDORJONOV ELCHINBEK ELDORJONOVICH,395251101014,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:51:41
ELMURATOVA MUXARRAMXON XUDOYOR QIZI,395251101465,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:36:50
ERGASHBAYEVA RUXSHONA XIKMATILLA QIZI,395251100763,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:19:15
ERGASHEVA MADINA O‘TKIR QIZI,395251100822,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:55:44
ERGASHEVA NIGORA DILSHOD QIZI,395251100675,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:21:53
ERGASHEVA ZARINA ZAYNIDDIN QIZI,395251101249,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:34:05
ERKINOV AVAZBEK ULUG‘BEK O‘G‘LI,395231100300,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:50:56
ERNIYOZOVA FARINA SHAVKAT QIZI,395241100537,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:07:29
ESANOVA SEVINCH SHERALI QIZI,395251101887,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:18:26
ESHBOYEVA MAHLIYO IKROM QIZI,395251100721,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:46:15
FAXRIDDINOVA DILNORA KAMOLIDDIN QIZI,395241101155,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:57:05
FAYZULLOYEV DIYORBEK BAXRIDINOVICH,395241100222,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:25:57
GADOYEVA FAYOZA FOZIL QIZI,395251101807,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:49:09
G‘AFUROVA RUXSHONA HUSEN QIZI,395251101186,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:58:25
G‘ANIYEV SHERALI SHERMAT O‘G‘LI,395241100226,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 05:33:46
G‘AYRATOVA SARAFROZ MARATJON QIZI,395251101469,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:45:27
G‘OFUROVA LOBAR ODIL QIZI,395251100754,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:41:14
G‘OFUROVA OZODAXON JASUR QIZI,395241101209,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:06:40
G‘OIBBOYEVA RUXSHONA BAHODIRJON QIZI,395251101009,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:42:32
G‘OZIQULOVA ZARINA NURIDDIN QIZI,395251102039,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:04:32
GUSEYNOVA MOXIRA AYDINOVNA,395251101984,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-06 14:20:53
HAMIDULLAYEVA SOLIHA OLIM QIZI,395251100567,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:00:56
HAZRATOVA SHAHZODA FAXRIDDIN QIZI,395251101359,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:55:12
HIMMATOVA BAHOR ALIM QIZI,395251101927,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:29:54
HOTAMALIYEVA MADINABONU ABRORJON QIZI,395251101498,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:06:44
HUSANOV JAMOLIDDIN AKMALJON O‘G‘LI,395221100444,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 06:04:52
IBODOVA MALIKA ABDURAXMON QIZI,395251100885,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:22:02
IBODOVA SHAHZODA MIRSALIM QIZI,395251101490,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:35:22
IBODOVA SHAHZODA TOHIR QIZI,395251101146,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:33:41
IBODULLAYEVA SAIDA DONIYOR QIZI,395241100218,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 03:40:46
IBRAGIMOVA GO‘ZAL OYBEKOVNA,395251101548,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:32:34
IBROHIMOVA MOHIZARXON MUHIDDIN QIZI,395251100764,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 19:07:51
ILASHEVA MARJONA UKTAM QIZI,395251100057,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:50:40
ISHANKULOVA XADICHA DONIYOROVNA,395251101990,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:07:36
ISKANDAROVA GULCHEHRA RO‘ZMAMAT QIZI,395251100808,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:14:41
ISKANDAROVA RUXSHONA SHOHRUH QIZI,395241100505,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:42:48
ISKANDAROV HOSILBEK ULUG‘BEK O‘G‘LI,395241100527,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:35:51
ISLOMOVA KOMILA JAMOLIDDIN QIZI,395251101953,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:21:29
ISLOMOVA RAYHON DAVRON QIZI,395251100794,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:42:26
ISMATOVA FERUZA AVLIYAQUL QIZI,395251100687,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:12:33
Jalolova Nilufar Jobir Qizi,395241100542,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 18:00:53
JAMSHETOVA ZARINABONU MIRZOXURSHED QIZI,395251101720,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:41:09
JAVLIYEVA MARJONA FARXOD QIZI,395251100759,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:52:31
JO‘RAQULOVA SHAHZODA JASUR QIZI,395251100956,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:00:18
JUMANIYOZOV BEKZOD BAXTIYOR O‘G‘LI,395251101897,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:53:42
JUMANOVA RAYHONA MUHIDDIN QIZI,395251101028,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-08 05:10:51
Kamalidinova Adolatxon Baxriddin Qizi,395251102170,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:36:28
KAMOLOVA MALIKABONU YUSUF QIZI,395251100995,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 04:48:47
KARIMBERGANOVA DILSHODA DILMUROD QIZI,395241100768,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:10:12
KARIMOVA MOHLAROYIM SHUKURJON QIZI,395241100504,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:07:46
KO‘CHIBOYEVA ZEBINISO ANVARJON QIZI,395251101234,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 20:47:53
KOMILJONOVA SARVINOZ MUZAFFAR QIZI,395251101860,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:16:45
KOMILJONOVA ZILOLA MA’MURBEK QIZI,395251101013,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:32:07
KOMILOVA MUMTOZAXON OLIMJON QIZI,395251101529,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:01:18
MADAMINOV QUVONCHBEK JAXONGIR O‘G‘LI,395251101500,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:18:25
MAHMUDOVA OZODA ABDIMUROD QIZI,395241100304,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:33:00
MAHMUDOVA XUMORA MURTAZO QIZI,395251100812,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:10:00
MALIKOVA MAQPAL YERBOL QIZI,395251100209,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:39:38
MAMADAZIMOVA MARHABO ASHURALI QIZI,395251101248,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:43:08
MAMADIYEVA IRODA ELMUROD QIZI,395251101890,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:21:52
MAMATKULOVA XUSNORA IKROM QIZI,395251100996,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 13:52:44
MANNOBOVA OISHA UMIDJON QIZI,395251100691,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:27:51
MARDONOVA SEVINCH ZUXRIDDIN QIZI,395251100185,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:14:12
MARIPJONOVA ZAXRO ILXOMJON QIZI,395251100528,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 16:47:01
MAXAMADINOVA MUSHTARIY MA’RUFJON QIZI,395251100659,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:48:13
MAXMARAIMOVA ZAYNURA ISMATULLA QIZI,395251100893,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:49:06
MAXMATQULOVA JAYRONA IXTIYOR QIZI,395251101157,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:35:51
MAXMUDBOYEVA NARGIZA DILMUROD QIZI,395251100788,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:47:09
Maxmudov G‘Ayratjon Egamberdi O‘G‘Li,395231100287,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 05:54:57
MAXSIMOVA OZODA MADAMINJON QIZI,395241100187,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:34:07
MELIYEV SHOMUROD RUSTAM O‘G‘LI,395251101770,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 09:19:58
MIRJALIYEVA AZIZA ZAXRIDDIN QIZI,395251100695,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:43:02
MIRSAIDJONOV DILMURODJON ANVARJON O‘G‘LI,395221100396,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:23:54
MIRSALIMOVA DILNOZA MIRSOBIT QIZI,395251102034,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 10:37:03
MIRVALIYEVA LAYLO BEGZOD QIZI,395251100674,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 07:44:56
MIRZAKARIMOVA MUXARRAMXON MURADJON QIZI,395251101163,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:34:50
MIRZAMUXAMEDOVA DILAFRUZ MASHRAB QIZI,395251100705,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:57:02
MIRZAYEVA MARJONA ALISHER QIZI,395251100575,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:24:24
MIRZOKANALOVA SARVINOZ UBAYDULLO QIZI,395251100922,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 15:00:49
MOYLIYEVA SEVINCH BOBIR QIZI,395251101040,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:48:45
MUQUMJONOVA MUBINA OYBEK QIZI,395251100542,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:14:48
MURATOVA MADINA OTABEK QIZI,395241101163,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 11:50:47
MUSOQULOVA UMIDA JASUR QIZI,395251101050,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 06:36:23
MUSTOFAQULIYEV XURSHID MURODJONOVICH,395221100436,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 12:48:48
MUSURMONQULOVA LOBAR JUMAQUL QIZI,395251101721,Xalqaro munosabatlar va ijtimoiy-gumanitar fanlar fakulteti,O‘zbekiston jurnalistika va ommaviy kommunikatsiyalar universiteti,2026-02-07 14:51:55
